Species	Formula	CAS	Inchi	Enthalpy	T(K)_Enthalpy	E_mean	E_min	E_max	Pre-exponential_factor	Order_factor	Method	Origin	Reference	Type_of_surface	Description
C6H14	C6H14	110-54-3	InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3	-166.92±0.48	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C14H10	C14H10	120-12-7	InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C14H10+	C14H10+	NoData	InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C15H9+	C15H9+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
D	D	NoData	InChI=1S/H/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
D2	D2	7782-39-0	InChI=1S/H2/h1H/i1+1D	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
e-	e-	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
F	F	14762-94-8	InChI=1S/F	79.39±0.058	298	800	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The energy is the same as O The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
F+	F+	14701-13-4	InChI=1S/F/q+1	1766.661±0.059	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
Fe	Fe	7439-89-6	InChI=1S/Fe	415.5±1.3	298	4200	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006.  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
Fe+	Fe+	14067-02-8	InChI=1S/Fe/q+1	1181.144	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
FeH	FeH	NoData	NoData	NoData	NoData	4650	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Fe + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
FO	FO	12061-70-0	InChI=1S/FO/c1-2	111.267±0.15	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
FNO	FNO	7789-25-5	InChI=1S/FNO/c1-2-3	-65±2	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
FO2	FO2	15499-23-7	InChI=1S/F2O/c1-3-2	521.222±0.88	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H	H	12385-13-6	InChI=1S/H	217.998±0.001	298	650±195	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
H	H	12385-13-6	InChI=1S/H	217.998±0.001	298	450	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
H-	H-	12184-88-2	InChI=1S/H/q-1	139.031±1.0E-5	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H+	H+	12408-02-5	InChI=1S/p+1	1536.244±1.0E-5	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
He	He	7440-59-7	InChI=1S/He	0	298	100	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
He+	He+	14234-48-1	InChI=1S/He/q+1	2378.519±0.001	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2	H2	1333-74-0	InChI=1S/H2/h1H	0	298	440±132	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
H2	H2	1333-74-0	InChI=1S/H2/h1H	0	298	450	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
H2+(J=10)	H2+	NoData	InChI=1S/H2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2+(J=2)	H2+	NoData	InChI=1S/H2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2+(J=7)	H2+	NoData	InChI=1S/H2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2+(J=4)	H2+	NoData	InChI=1S/H2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2+(J=9)	H2+	NoData	InChI=1S/H2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2+(J=1)	H2+	NoData	InChI=1S/H2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2+(J=6)	H2+	NoData	InChI=1S/H2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2+(J=3)	H2+	NoData	InChI=1S/H2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2+	H2+	12184-90-6	InChI=1S/H2/h1H/q+1	1494.677±1.1	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2+(J=8)	H2+	NoData	InChI=1S/H2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2+(J=5)	H2+	NoData	InChI=1S/H2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCl	HCl	7647-01-0	InChI=1S/ClH/h1H	-92.31±0.006	298	5174±1	0	0	0.00E+0	0	Measurements	Bibliography	Olanrewaju,B.O.etal.;2011;TheJournalofPhysicalChemistryA;115,5936-5942	H2O	 
HCl	HCl	7647-01-0	InChI=1S/ClH/h1H	-92.31±0.006	298	5172±1551.6	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
HCl+	HCl+	12258-94-5	InChI=1S/ClH/h1H/q+1	1143.81±0.005	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HD+(J=7)	HD+	NoData	InChI=1S/H2/h1H/q+1/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HD+(J=10)	HD+	NoData	InChI=1S/H2/h1H/q+1/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HD+	HD+	NoData	InChI=1S/H2/h1H/q+1/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HD+(J=2)	HD+	NoData	InChI=1S/H2/h1H/q+1/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HD+(J=9)	HD+	NoData	InChI=1S/H2/h1H/q+1/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HD+(J=6)	HD+	NoData	InChI=1S/H2/h1H/q+1/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HD+(J=4)	HD+	NoData	InChI=1S/H2/h1H/q+1/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HD+(J=1)	HD+	NoData	InChI=1S/H2/h1H/q+1/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HD+(J=8)	HD+	NoData	InChI=1S/H2/h1H/q+1/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HD+(J=5)	HD+	NoData	InChI=1S/H2/h1H/q+1/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HD+(J=3)	HD+	NoData	InChI=1S/H2/h1H/q+1/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HeH+	HeH+	NoData	InChI=1S/HHe/h1H/q+1	1357.834±8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HF	HF	7664-39-3	InChI=1S/FH/h1H	-272.864±0.06	298	7500±2250	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
HF	HF	7664-39-3	InChI=1S/FH/h1H	-272.864±0.06	298	2850	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The energy is the same as OH. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HF+	HF+	12381-92-9	InChI=1S/FH/h1H/q+1	1281.847±0.06	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HS	HS	13940-21-1	InChI=1S/HS/h1H	141.87±0.52	298	2700±810	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
HS	HS	13940-21-1	InChI=1S/HS/h1H	141.87±0.52	298	1450	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of H2S - 300K. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HS+	HS+	NoData	InChI=1S/HS/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2Cl+	H2Cl+	42348-41-4	InChI=1S/ClH2/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2D+	H2D+	NoData	InChI=1S/H3/c1-2-3-1/q+1/i1+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2F+	H2F+	12206-67-6	InChI=1S/FH2/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2O	H2O	7732-18-5	InChI=1S/H2O/h1H2	-241.826±0.03	298	5600±1680	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
H2O	H2O	7732-18-5	InChI=1S/H2O/h1H2	-241.826±0.03	298	5700	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
H2O+	H2O+	56583-62-1	InChI=1S/H2O/h1H2/q+1	981.806±0.033	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2S	H2S	7783-06-4	InChI=1S/H2S/h1H2	-20.6±0.5	298	2700±810	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
H2S	H2S	7783-06-4	InChI=1S/H2S/h1H2	-20.6±0.5	298	2743	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This value was deduced from Collings et al. (2004). This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
H2S+	H2S+	77544-69-5	InChI=1S/H2S/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H3+	H3+	28132-48-1	InChI=1S/H3/c1-2-3-1/q+1	1112.89±0.013	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCN	HCN	74-90-8	InChI=1S/CHN/c1-2/h1H	129.799±0.1	298	3700±1110	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
HCN	HCN	74-90-8	InChI=1S/CHN/c1-2/h1H	129.799±0.1	298	2050	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of H+CN The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HCN+	HCN+	12601-62-6	InChI=1S/CHN/c1-2/h1H/q+1	1448.748±0.21	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCO	HCO	2597-44-6	InChI=1S/CHO/c1-2/h1H	42.3±0.3	298	2400±720	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
HCO	HCO	2597-44-6	InChI=1S/CHO/c1-2/h1H	42.3±0.3	298	1600	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CO+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HCO+	HCO+	17030-74-9	InChI=1S/CHO/c1-2/h1H/q+1	833.94±0.26	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCP	HCP	6829-52-3	InChI=1S/CHP/c1-2/h1H	216.363±8	298	2350	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of H+C+P The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HCP+	HCP+	79606-14-7	InChI=1S/CHP/c1-2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCS	HCS	36058-28-3	InChI=1S/CHS/c1-2/h1H	282.47±8	298	2900±870	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
HCS	HCS	36058-28-3	InChI=1S/CHS/c1-2/h1H	282.47±8	298	2350	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CS+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HCS+	HCS+	59348-25-3	InChI=1S/CHS/c1-2/h1H/q+1	242.6±2	0	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCSi	HCSi	NoData	InChI=1S/CHSi/c1-2/h1H	NoData	NoData	3625	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+CH The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HNC	HNC	6914-07-4	InChI=1S/CHN/c1-2/h2H	191.908±0.57	298	3800±1140	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
HNC	HNC	6914-07-4	InChI=1S/CHN/c1-2/h2H	191.908±0.57	298	2050	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of HCN The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HNC+	HNC+	74158-11-5	InChI=1S/CHN/c1-2/h2H/q+1	1359.05±1.4	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HNO	HNO	14332-28-6	InChI=1S/HNO/c1-2/h1H	106.842±0.125	298	3000±900	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
HNO	HNO	14332-28-6	InChI=1S/HNO/c1-2/h1H	106.842±0.125	298	2050	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of H+N+O The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HNO+	HNO+	63559-87-5	InChI=1S/HNO/c1-2/h1H/q+1	1095.75±0.7	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HNS+	HNS+	NoData	InChI=1S/HNS/c1-2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HNSi	HNSi	14515-04-9	InChI=1S/HNSi/c1-2/h1H	NoData	NoData	5078	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+NH The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HNSi+	HNSi+	NoData	InChI=1S/HNSi/c1-2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HOC+	HOC+	60528-75-8	InChI=1S/CHO/c1-2/h1H/q+1	993.859±0.8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HPN+	HPN+	NoData	InChI=1S/HNP/c1-2/h2H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HPO	HPO	13817-06-6	InChI=1S/HOP/c1-2/h2H	-93.7±4.2	298	2350	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of H+P+O The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HPO+	HPO+	NoData	InChI=1S/HOP/c1-2/h2H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HSS	HS2	14541-24-3	InChI=1S/HS2/c1-2/h1H	NoData	NoData	2650	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of S2+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HSiO+	HSiO+	66106-76-1	InChI=1S/HOSi/c1-2/h2H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HSiS+	HSiS+	NoData	InChI=1S/HSSi/c1-2/h2H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HSO	HSO	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HSO+	HSO+	NoData	InChI=1S/HOS/c1-2/h2H/q+1	954±20	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2CCl+	H2CCl+	59000-00-9	InChI=1S/CH2Cl/c1-2/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2CN	H2CN	15845-29-1	InChI=1S/CH2N/c1-2/h1H2	238.569±0.93	298	2400	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of HCN+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
H2CO	H2CO	50-00-0	InChI=1S/CH2O/c1-2/h1H2	-109.16±0.11	298	4500±1350	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
H2CO	H2CO	50-00-0	InChI=1S/CH2O/c1-2/h1H2	-109.16±0.11	298	2050	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of HCO+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
H2CO+	H2CO+	54288-05-0	InChI=1S/CH2O/c1-2/h1H2/q+1	948.386±0.13	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2CS	H2CS	865-36-1	InChI=1S/CH2S/c1-2/h1H2	114.951±8	298	4400±1320	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
H2CS	H2CS	865-36-1	InChI=1S/CH2S/c1-2/h1H2	114.951±8	298	2700	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of HCS+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
H2CS+	H2CS+	61356-81-8	InChI=1S/CH2S/c1-2/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2NC+	H2NC+	38263-97-7	InChI=1S/CH2N/c1-2/h2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2NO+	H2NO+	NoData	InChI=1S/H2NO/c1-2/h1H2/q+1	945.38±0.84	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HOOH	H2O2	7722-84-1	InChI=1S/H2O2/c1-2/h1-2H	-135.88±0.64	298	6000±1800	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
